"","Adela rufimatrella","Andrena chrysosceles","Andrena haemorrhoa","Andrena pubescens","Andrena wilkella","Anosymia sp1 M_PL_006","Anthomyiidae sp1 M_PL_006","Anthophora plumipes","Apis mellifera","Autographa sp1 M_PL_006","Bombus hortorum","Bombus lapidarius","Bombus pascuorum","Bombus pratorum","Bombus terrestris lucorum","Calocoris bipunctatus","Cephus pygmaeus","Cheilosia albitarsis","Cheilosia bergenstammi","Chloromyia formosa","Chrysogaster sp1 M_PL_006","Empis livida","Episyrphus balteatus","Eriothrix rufomaculatus","Eristalinus sepulcharius","Eristalis intricarius","Eristalis nemorum","Eristalis pertinax","Eristalis tenax","Helophilus sp1 M_PL_006","Helophilus sp1 M_PL_007","Helophilus trivittatus","Lasioglossum calceatum","Lasioglossum leucozonium","Lasioglossum villosulum","Lasiommata megera","Lejogaster splendida","Lucillia sp1 M_PL_006","Lucillia sp1 M_PL_007","Lycaena phlaeas","Lycaena phlaeas ","Malachius viridus","Maniola jurtina","Megachile willughbiella","Melanostoma sp1 M_PL_006","Melanostoma sp1 M_PL_007","Meliscaeva sp1 M_PL_006","Meliscaeva sp1 M_PL_007","Micromoth sp1 M_PL_006","Nemotelus pantherinus","Neoascia tenur","Ochlodes venata","Odontomyia tigrina","Odontomyia viridula","Oligia sp1 M_PL_006","Panameria tenebrata","Parhelophilus sp1 M_PL_006","Phaonia incarna","Platycheirus sp1 M_PL_006","Platycheirus sp1 M_PL_007","Pollenia sp1 M_PL_006","Pollenia sp1 M_PL_007","Polyommatus icarus","Psithyrus vest","Pyronia tithonus","Rhagio tringarius","Rhagonycha fulva","Sarcophagus sp1 M_PL_006","Sarcophagus sp1 M_PL_007","Scathophaga stercoraria","Sphaerophoria sp1 M_PL_006","Sphaerophoria sp1 M_PL_007","Syritta pipiens","Syrphus sp1 M_PL_006","Syrphus sp1 M_PL_007","Tetanocera ferruginea","Thymelicus sp1 M_PL_006","Tropidia scitta","Volucella bombylans","Zygaena filipendulae"
"Achillea millefolium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centaurea nigra",0,0,0,0,0,0,0,0,14,0,1,469,35,8,8,36,0,0,0,0,0,11,8,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1
"Cirsium arvense",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hypochoeris radicata",0,0,1,0,0,0,3,0,0,0,0,4,2,0,15,0,0,0,0,0,0,0,2,0,6,1,1,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,3,0,0
"Lathyrus pratensis",0,0,0,0,1,0,0,0,0,0,5,0,22,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Leucanthemum vulgare",1,2,2,1,5,1,17,0,0,0,2,36,3,7,38,0,0,5,0,0,30,35,0,2,192,26,38,2,28,225,10,5,0,0,0,5,26,68,4,8,0,1,50,0,3,2,0,1,6,1,0,0,7,4,1,0,1,426,5,1,55,2,2,13,0,5,1,2,1,19,4,2,29,6,2,1,1,253,1,0
"Lotus corniculatus",0,0,0,1,7,0,0,0,0,2,13,4,49,1,965,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,4,0,1,0,0,0,0,19,9,0,0,0,0,0,0,0,2,1,0,0,0,0,3,1,0,0,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,7,0,0,2
"Lychnis flos-cuculi",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plantago lanceolata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Prunella vulgaris",0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Ranunculus acris",0,0,0,1,0,0,16,0,0,0,0,2,1,0,1,0,1,11,4,0,0,0,0,0,2,1,0,0,0,1,1,0,2,0,1,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
"Taraxacum officinale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Trifolium dubium",0,0,1,0,8,0,0,0,0,0,0,1,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trifolium pratense",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trifolium repens",0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vicia cracca",0,0,0,0,4,0,0,0,0,0,4,0,4,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Vicia sativa",0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cerastium fontanum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cirsium palustre",0,0,0,0,0,0,0,0,0,0,0,8,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Filipendula ulmaria",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
"Galium verum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Orchis morio",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Primula veris",0,0,0,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
