,Agauria salicifolia,Antidesma madagascariense,Antirhea borbonica,Aphloia theiformis,Badula insularis,Badula platiphylla,Bakerella hoyifolia,Bertiera zaluzania ,Calophyllum eputamen,Casearia coriacea,Chassalia coriacea,Chassalia petrinensis,Claoxylon linostachys,Coffea macrocarpa,Coffea mauritiana,Colea colei,Cordemoya integrifolia,Croton fothergillifolius,Diospyros revaughanii,Dodonaea viscosa ,Doratoxylon apetalum,Dracaena reflexa,Embelia angustifolia,Erythrospermum monticolum,Erythroxylum macrocarpum,Eugenia orbiculata,Euodia chapelieri,Euodia obtusifolia,Euodia obtusifolia,Faujasiopsis flexuosa,Flagellaria indica,Gaertnera petrinensis,Gaertnera psychotrioides,Gaertnera rotundifolia,Geniostoma borbonicum,Grangeria borbonica,Helichrysum proteoides,Labourdonnaisia callophylloides,Memecylon ovatifolium,Mimusops erythroxylon,Molinaea alternifolia,Monimiastrum globosum,Ochna mauritiana,Ocotea laevigata,Olea lancea,Pandanus barklyi,Pandanus rigidifolius,Pandanus wiehii,Phyllanthus phillyreifolius,Pittosporum senacia,Pleurostylia leucocarpa ,Polyscias mauritiana,Psiadia terebinthina,Pyrostria fasciculata,Roussea simplex ,Sideroxylon cinereum,Sideroxylon puberulum,Smilax anceps,Stillingia lineata,Syzygium commersonii,Syzygium coriaceum,Syzygium glomeratum,Syzygium mauritianum,Syzygium petrinese,Syzygium venosum,Tabernaemontana persicarifolia,Tambourissa peltata,Toddalia asiatica,Tristhema mauritiana,Trochetia blackburniana,Turraea rigida,Warneckea trinervis,Xylopia lamarckii,Xyris sp
Acalyptrate sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336521739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achaea finita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000231884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acopsis viridicans,0,0,0,0,0,0,0,0,0,0,0,0,0.022299517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010652174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334318841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aganais borbonica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000231884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agrostis atritegulator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000231884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahasverus advena,0,0,0,0,0,0.000734299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001831884,0,0,0,0,0,0,0,0,0,0.006502835,0,0,0,0,0,0.019130435,0,0,0,0,0.018937198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allograpta nasuta,0,0,0,0.134911153,0,0,0,0.008809838,0,0,0.016066253,0,0.035838509,0.004565218,0.002809365,0,0,0.059661836,0,0,0,0.005695398,0,0.003816425,0.013175231,0,0,0,0,0,0,0,0,0.004985507,0.012336232,0,0,0,0.002198901,0,0,0.000144928,0,0,0,0,0,0,0,0,0,0,0.334318841,0,0.008623189,0,0.001014493,0,0.078521739,0,0,0,0,0,0,0,0,0.000892754,0,0,0,0.013681159,0,0
Allograpta sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002318841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allograpta sp 2,0,0,0,0.16352867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthomyia faciata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038325282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apis mellifera,0.011826087,0,0,12.15799906,0.001052632,0,0.000242926,0.083330699,0.011851852,0,0,0,0,0.035608697,0.000490524,0,0.061337298,0.008949275,0.07659351,0,0,0.014210331,0,0,0.012077295,0.000869565,0.038347826,0,0.002898551,0,0.00140195,0.003146998,0.122808231,0,0.009948574,0.008348861,0.101090616,0.468561635,0.002930757,0.016397515,0.063226495,0.000165631,0,0,0.008876812,0.649855028,0.000248447,0,0,0.000875086,0,0,3.445432431,0.022153209,0.030533127,0.09772549,0.137761967,0.000278261,0.112173913,0,0,0,0.000386473,0.030446408,0.000828157,0,0,0,0,0,0.004444444,0.242351967,0,0
Atherigona sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000507246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bactrocera cucurbitae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008354646,0,0,0,0.034901961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex sp ,0,0,0,4.498706124,0,0.004589372,0,0,0,0.005672878,0,0,0.310619154,0,0.010202899,0,0,0.219344984,0.003091787,0,0.002898551,0,0.129765631,0,0.115942029,0,0,0,0,0,0,0,0,0,0,0,0.010652174,0,0,0,0.257597882,0,0,0,0,0,0,0,0,0.00057971,0,0,4.810476651,0,0.004927536,0,0,0.000115942,0.560869565,0,0.206252587,0,0,0,0.004140786,0,0,0.004463768,0,0,0,0,0,0
Calcidoidae sp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023733333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campopleginae sp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cephonodes trochilus,0,0,0,0,0,0,0,0,0,0,0.011246377,0,0,0,0,0,0,0,0,0,0,0.005603865,0,0,0,0,0,0,0,0,0,0,0.071859903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000231884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cerambycidae sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000869565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00394525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cerambycidae sp 3,0,0,0,0.104476651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00573913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceratitis roas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003150599,0,0,0,0,0,0,0,0,0,0.009070759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004328502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaetocnema sp 1,0,0,0,0,0,0,0,0,0.03084058,0,0,0,0.030408432,0,0.001821946,0,0.009033817,0.147364734,0,0,0,0,0,0,0.059249787,0,0,0,0,0,0,0,0,0,0,0,0.021304348,0,0,0.048951406,0,0.000144928,0,0,0.042608696,0,0,0,0,0.000289855,0,0,0.585057971,0,0,0,0,0,3.813913042,0,0.053953964,0,0,0,0,0,0,0.001650242,0,0,0,0,0,0
Cheloninae sp1,0,0,0,0.250743961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheloninae sp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000507246,0,0,0,0,0,0
Chironomidae sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002705314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chrysomya megacephala,0,0,0,0.71676573,0.00125,0,0.000231884,0.031571907,0.001623188,0,0,0,0,0.002921739,0,0,0,0.089879088,0,0,0,0,0,0,0.005574136,0,0.011533181,0.000178372,0,0,0,0,0.067429443,0,0.089951691,0.001242236,0,0,0,0.014347826,0.015888889,0,0,0.003623188,0.007890499,0,0,0,0,9.32E-05,0,0.002318841,0.7530368,0,0,0.010483092,0.012985507,0,0.759043478,0,0.296162885,0.002796875,0,0,0,0,0,0.007337999,0,0,0,0.027362319,0,0
Cicadellidae sp 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16715942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Condica capensis,0,0,0,0,0,0,0,0,0,0,0,0.00057971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conocephalus sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002434783
Cryptinae sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002231884,0,0,0,0,0,0
Dasytinae sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035797101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dioxyna sororcula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060230044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004888889,0,0,0,0,0,0,0,0,0,0,0,0.334318841,0,0,0,0.001623188,0,0,0,0,0,0,0,0,0,0,0.001785507,0,0,0,0,0,0
Diptera sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.523478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolichopodidae sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074782609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drosophila sp 1,0,0,0,0.125371981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drosophila sp 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006502835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drosophila sp 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004637681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000496894,0,0,0,0,0,0,0
Dysauxes florida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055146886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006492754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eilema squalida,0,0,0.068819876,0,0,0,0,0,0,0,0,0,0,0.003413989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episyrphus sp.,0,0,0,0.470144928,0,0,0,0.005700483,0.003246377,0,0,0,0,0,0.00115942,0,0,0.009545894,0,0,0,0,0,0,0.006587615,0,0,0.000105402,0,0,0,0,0,0,0,0,0,0,0.008361048,0,0.004888889,0,0,0,0,0.022028984,0,0,0,4.35E-05,0,0,0,0,0,0,0,0,0,0,0,0.000913896,0,0,0,0,0,0.001653247,0,0,0,0,0,0
Eristalinus flaveolus,0,0,0,1.492953865,0.0016,0,0,0,0.003246377,0,0,0,0,0.002921739,0,0,0,0.09784541,0,0,0,0,0,0,0.019762846,0,0,0,0,0,0,0,0.123188406,0,0.003084058,0,0,0,0,0,0.010388889,0,0,0.012077295,0,0,0,0,0,4.97E-05,0,0,0.476404348,0,0,0,0.002705314,0,0.246782609,0,0.019412008,0.000894951,0,0,0,0,0,0.002231884,0,0,0,0.013681159,0,0
Eumolpinae sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006376812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fannia pusio,0,0.004444444,0,0.503726708,0,0,0,0,0,0,0,0,0.030408432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036200966,0,0,0,0,0,0.110611111,0,0,0,0,0,0,0,0,0,0,0,0.85437037,0,0.011086957,0.030072464,0.001623188,0,0.626304348,0,0,0,0,0,0,0,0,0.005627053,0,0,0,0,0,0
Foudia madagascariense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000450886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gelechioidea sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001404682,0,0,0,0,0,0,0,0,0,0,0,0,0.013695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goniurellia sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029830918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.66E-05,0,0,1.103252174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Graphomya maculata,0,0,0.096347826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00633577,0,0,0,0,0,0,0.009661836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.349608696,0,0.064853755,0,0,0,0,0,0.000695652,0,0,0,0,0,0,0
Henotesia narcissus,0,0,0,0.040882168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028743961,0,0.002487144,0,0,0,0,0.004782609,0.016296296,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053968255,0.000507246,0,0,0,0,0,0,0,0,0,0,0.000695652,0.00412828,0,0,0,0,0,0
Hippotion eson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229376811,0.001495652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000231884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Homoneura quadrivittata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018141517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Homoneura sp 2,0,0,0,0.110622336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Homoneura sp 3,0,0.004444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.448695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyadina sp ,0,0.002222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydrillodes sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001275362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194574507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyperaspis hottentota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022434783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischiodon aegyptius,0,0,0,0.075223188,0,0,0,0.00342029,0,0,0,0,0.04013913,0,0,0,0,0.099720497,0,0,0,0.003864734,0,0,0.006587615,0,0,0,0,0,0.002050725,0,0,0,0,0,0,0,0,0,0,0,0.035748792,0,0,0.022028984,0,0,0,0,0,0,0,0,0,0.003478261,0,0,0.112173913,0,0,0,0,0,0,0,0,0,0,0,0,0.023453416,0,0
Lauxania sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lecithoceridae sp 1,0,0,0,0.134327122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001855072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000341006,0,0,0,0.010608696,0,0,0,0,0,0,0,0
Lecithoceridae sp 2,0,0.002051282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000737813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leptotes pirithous,0,0,0.014452174,0.040882168,0,0,0,0,0,0,0.024991948,0,0,0,0,0,0,0.038979066,0,0,0,0,0,0,0.002787068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017722222,0,0,0,0,0,0,0,0,0,0,0,0.069649758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001636715,0,0,0,0,0,0
Limnophora quaterna,0,0,0,0.081764335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010869565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limonia (Dycranomia) sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001062802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limoniidae sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000737813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lygaeidae sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003285024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lygaeidae sp 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087978642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lygaeidae sp 5,0,0,0,0,0,0,0,0,0,0,0,0,0.022299517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002550725,0.997384541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lygistorrhina sp,0,0,0,0,0,0,0,0,0,0,0,0,0.033449275,0,0.000910973,0,0,0,0,0,0.002898551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05326087,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265701,0,0.16715942,0,0.023728434,0.008115942,0.020289855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macroglossum milvus,0,0,0,0,0,0,0,0,0,0,0.004089592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121632342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
