Species names,Antidesma madagascariense,Antirhea borbonica,Aphloia theiformis,Ardisia crenate,Badula insularis,Badula platiphylla,Bertiera zaluzania,Calophyllum eputamen var eputamen,Casearia coriacea,Chassalia coriacea var coriacea,Claoxylon linostachys ssp brachyphyllum,Clidemia hirta,Coffea macrocarpa,Coffea mauritiana,Cordemoya integrifolia,Croton fothergillifolius,Croton grangeroides,Diospyros revaughanii,Dodonaea viscosa ,Doratoxylon apetalum var diphyllum,Dracaena reflexa var angustifolia,Embelia angustifolia,Erythrospermum monticolum var monticolum,Erythroxylum macrocarpum,Eugenia orbiculata,Euodia chapelieri var chapelieri,Euodia obtusifolia ssp gigas var gigas,Faujasiopsis flexuosa ssp erecta,Flagellaria indica,Gaertnera psychotrioides/edentata,Gaertnera rotundifolia,Grangeria borbonica,Harungana madagascariensis,Helichrysum proteoides,Homalanthus populifolius,Labourdonnaisia callophylloides,Molinaea alternifolia,Molinaea macrantha,Myonima violacea var ovata,Ochna mauritiana,Olea lancea,Ossaea marginata,Phyllanthus phillyreifolius var telfairianus,Pittosporum senacia,Psathura terniflora,Psiadia terebinthina,Psidium cattleianum,Rubus alcefolius,Sideroxylon cinereum,Sideroxylon puberulum,Smilax anceps,Stillingia lineata ssp lineata,Syzygium commersonii,Syzygium coriaceum,Syzygium glomeratum,Syzygium petrinese,Tabernaemontana persicarifolia,Toddalia asiatica,Tristhema mauritiana,Trochetia blackburniana,Turraea rigida,Warneckea trinervis,Wikstroemia indica,Xylopia lamarckii ,,,,,,,,,
Melanostoma annulipes Macquart,0,0,0.689338855,0,0,0,0,0,0,0,0,0,0,0,0,0.007520976,0,0,0.00541903,0,4.83092E-05,0,0,0.023497585,0,0,0,0,0,0,0,0,0,0,0.025077164,0,0,0,0,0.023188406,0,0,0,0,0,0.207329193,0,0,0.233086693,0,0,0,0,0,0,0,0,0.004098024,0,0,0,0,0,0,,,,,,,,,
Melanostoma bituberculatum Loew,0,0,0.162657005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005874396,0,0,0,0,0.001722567,0,0,0,0,0,0,0,0,0,0,0.037101449,0,0,0,0,0,0.038701449,0,0,0,0,0,0.05884058,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Miridae sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015357718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Mordellidae sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034554865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Mordellidae sp 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11768116,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Mordellidae sp 3,0,0,0.021449275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Musca confiscata Speiser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023536232,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Musca domestica Linnaeus ,0,0,0.767915238,0,0,0,0.001204013,0,0,0,0,0,0,0,0,0.019337753,0.017669737,0,0.014125604,0,0,0.00026087,0,0.026434783,0,0,0,0,0,0.071304348,0,0.001545894,0,0.081190476,0.042705314,0,0.032054106,0,0,0.023188406,0,0,0.011304348,0,0,0.038701449,0,0,0.43677971,0.216956522,0,0.949294691,0,0.099516908,0,0.003522409,0,0,0,0,0,0,0,0,,,,,,,,,
Nacoleia sp1,0,0.825240898,0,0,0,0,0,0,0,0,0,0,0.009963768,0.001610306,0,0.039307568,0.00089955,0,0,0,0.000193237,0,0,0.007342995,0,0,0,0.000289855,0,0.450645023,0,0.001590062,0,0,0.000932237,0,0,0,0,0.061835749,0,0,0,0,0,0.628898551,0,0,0.018908213,0.03615942,0,0.039227053,0,0.022888889,0,0,0.005503663,0.00173913,0,0,0,0.003395445,0,0,,,,,,,,,
Nacoleia sp2,0,0.412071021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006570048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001091219,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2994755,0,0,0.028362319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Nitidulidae sp 1,0,0,0,0,0,0.000405797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Nyctemera insulare Boisduval ,0,0,0,0,0,0,0.00048913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Ophyra capensis Wiedemann,0,0,0.04647343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022028986,0,0,0,0,0,0,0,0,0,0,0,0,0.088109317,0,0,0,0,0,0.009043478,0,0,0.161256039,0,0,0.158828986,0,0,0.5884058,0,0,0,0.000952381,0,0,0,0,0,0,0,0,,,,,,,,,
Orchisia costata Meigen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002492754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161256039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Ornidia obesa Fabricius,0,0,0,0,0,0,0,0,0.000184453,0,0,0,0,0,0,0,0,0.000289855,0,0,0,0,0,0.006293996,0,0,0,0.000966184,0,0,0,0.000185507,0,0.018532609,0,0,0,0,0,0,0,0,0,0,0,0.024188406,0,0,0,0,0,0,0,0,0,0.001111111,0,0,0,0,0,0,0,0,,,,,,,,,
Orthellia albigena Stein,0,0,0.08805492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263918841,0,0,0.052956522,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Pachycerina crinicornis Thomson,0.015072464,0.317294686,0.160222682,0,0,0,0.001304348,0,0,0.003188406,0,0,0,0,0,0.045990338,0,0,0.022292919,0,9.66184E-05,0,0,0.006293996,0,0,0,0.003768116,0,0,0,0,0,0.043242754,0.052888889,0.010144928,0,0,0.002971015,0.026666667,0,0,0,0,0,0.39968461,0.105623188,0,0.118851622,0.01807971,0,1.73579711,0,0,0,0,0,0.009878261,0,0,0,0,0,0,,,,,,,,,
Palexorista sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003135705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Panara naso Fabricius,0,0,0.213777778,0,0,0,0,0,0,0.050566013,0,0,0,0,0,0.002898551,0,0,0,0,0,0,0,0.002753623,0,0,0,0,0,0.021391304,0.003381643,0,0,0.018532609,0,0,0,0,0.035652174,0.003478261,0,0,0,0,0,0.048376812,0,0,0,0.064283414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Paragus borbonicus Macquart,0,0,0.02935164,0,0,0,0,0,0,0,0.00237037,0,0,0,0,0,0.002745995,0,0,0,0,0.00026087,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009017713,0,0,0,0,0,0,0.007536232,0,0,0,0,0.006956522,0.081035197,0,0,0.053937198,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Pelecophora intemipta All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016231884,0.014369082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023536232,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Phalanta phalantha Drury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00057971,0,0,0,0,0,,,,,,,,,
Pheidole megacephala Fabricius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024664031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Phelsuma cepediana Merrem,0,0,0,0,0,0,0,0.002753623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000695652,0,0,0.001481482,0,0,0,0,0,0,0,0,,,,,,,,,
Phorinia sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002753623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005652174,0,0,0,0,0,0.014181159,0,0,0.084338165,0,0.013268921,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Polistes hebraeus Fabricius,0,0,0.057627053,0,0,0,0.001043478,0,0,0.008175399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04515942,0,0,0,0.055597826,0,0,0.11586756,0,0.047536232,0.076687371,0,0,0,0,0,0,0.058679549,0.004057971,0.037816425,0.04821256,0,0,0,0,0,0,0,0.001956522,0,0,0,0,0,0,,,,,,,,,
Psyllidae sp 2 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004405797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Sapromyza sp. near nudiuscula Lamb.,0,0,0.079668737,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004743083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081035197,0,0,0,0,0,0,0,0,0.000626087,0,0,0,0,0,0,,,,,,,,,
Sarcophaga arno Curran ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000745342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059304348,0,0,0,0,0,0.003478261,0,0,0,0,0,0,0,0,0.022689855,0,0,0.05884058,0,0,0,0.000784314,0,0,0,0.00057971,0,0,0,0,,,,,,,,,
Scatopsidae sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00489533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Scirtidae sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007039337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Scirtidae sp 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004927536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Scolia carniflex Coquillett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027643892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Scopariinae sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001971014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04537971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Simulium (Byssodon) sp 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023536232,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Siphona sp ,0,0,0,0,0,0,0.00048913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Stomorhina lunata Fabricius,0,0.105764895,0.914474535,0,0,0.000541063,0.008076923,0.004589372,0,0.003643892,0,0,0,0,0,0.041574383,0.000745342,0,0.013801205,0.002898551,0.000483092,0.000231884,0,0.029940189,0,0,0,0.003768116,0,0.010695652,0,0.004019324,0,0.018532609,0.029980285,0,0.11894272,0,0.066550725,0.119848771,0.005389157,0,0,0,0,1.602343809,0.190708535,0,0.808043692,0.47489372,0,0.225555557,0,0.007961353,0,0.000784314,0,0.007256917,0,0,0,0,0,0,,,,,,,,,
Stomoxys calcitrans Linnaeus,0,0,0.072498551,0,0,0,0,0,0,0,0,0,0,0,0,0.018888889,0.000745342,0,0.004985507,0,0,0,0,0.024126985,0,0,0,0,0,0.023768116,0,0,0,0,0,0,0,0,0.023768116,0,0,0,0,0,0,0.410469917,0,0,0.354590376,0.253115942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Stomoxys niger Macquart,0,0,0.159337474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002492754,0,4.83092E-05,0,0,0.009440994,0,0,0,0,0,0,0,0,0,0,0.00821256,0,0,0,0,0,0,0,0,0,0,0.449213251,0,0,0.24915415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Syritta bulbus Walker ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193507246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Syritta nigrofemorata Macquart,0,0.135983437,0,0,0,0,0.001204013,0,0,0,0,0,0,0,0,0.011145618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055597826,0,0,0.00552657,0,0,0.018550725,0,0,0,0,0,0.112879227,0,0,0,0,0,0.170637682,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Syritta sp. (near abyssinica Rondani),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004626258,0,0,0,0,0.000115942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093164252,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Technomyrmex albipes Smith,0.211014493,0,1.460018308,0,0.002318841,0,0.046083612,0,0,0,0,0,0.002943144,0,0.004347826,0.172698412,0,0,0.001519972,0,0,0,0,0.022028986,0,0,0,0,0,0,0,0.001236715,0.007826087,0,0.091980677,0,0.02763285,0.02890039,0.19278583,0,0,0,0.10691725,0,0,0.028456948,0,0.010434783,0,0,0,1.188579716,0.00084472,0.038214493,0,0,0.003333334,0.016304348,0,0,0.003188405,0,0,0,,,,,,,,,
Thelairodrino sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004927536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Thysanoplusia orichalcea Fabricius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015279503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Villa unifasciata Macquart,0.015072464,0.205183897,0.255603865,0,0,0.000624303,0,0,0.000238704,0,0,0,0,0,0,0.029565217,0,0,0,0,0,0,0,0.002753623,0.000869565,0,0,0,0,0.055855073,0,0,0,0,0.003135705,0,0,0,0,0,0.042329381,0,0,0,0.007826085,0.417729929,0.844985507,0,0,0,0,0.123565218,0,0.007024723,0,0,0,0,0.00173913,0,0,0,0,0,,,,,,,,,
Zosterops mauritianus Gmelin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065749012,0,0,0,0.000434783,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,