"","Agrius convolvuli","Amblypsilopus (?) nr. simplex","Apidae sp1","Apis mellifera adansonii","Beetle sp15","Beetle sp8","Cenophodes tamsi","Ceratina tabescens","Chalcidoma disjunctum","Cratopus aurostriatus","Curculionidae sp12","Curculionidae sp9","Dermestidae sp1","Dermestidae sp2","Dichaetomyia fasciculifera","Eagris sabadius maheta","Elateroidea sp2","Elateroidea sp3","Eristalinus vicarians","Eristalodes seychellarum","Euodynerus cylindricus","Fly sp1","Fly sp13","Fly sp16","Fly sp18","Fly sp19","Fly sp2","Fly sp21","Fly sp22","Fly sp26","Fly sp29","Fly sp30","Fly sp31","Fly sp4","Forcipomyia (Euprojoannisia) sp1","Forcipomyia (Thyridomyia) litoraurea","Foudia madagascariensis","Geron seychellarum","Halictidae sp1","Hemipyrellia germana","Hemipyrellia sp.","Hymenoptera sp1","Hymenoptera sp2","Hymenoptera sp3","Hymenoptera sp4","Lampides boeticus","Lasioglossum mahense","Leptotes pirithous","Lygistorrhina sp","Mabuya sechellensis","Megachile seychellensis","Melanostoma annulipes","Mordellidae sp11","Musca domestica","near Eurycratus sp1 ","Neavella albipectus","Nectarinia dussumieri","Neophyllomyza approximatonervis","Nitidulidae sp1","Ornidia obesa","Pachycerina seychellensis","Parasarcophaga hirticeps","Perissoma aenescens","Phalanta phalantha aethiopica","Phelsuma sp","Physiphoa azurea ","Plagiostenopterina cyanosoma","Polistes olivaceus","Rhiparida seychellensis","Rhynchium brunneum","Sarcophagidae sp1","Scaptodrosophila undet sp1","Simosyrphus aegyptius","Tricimba seychellensis","Trypoxylon errans","Xylocopa caffra"
"Alstonia macrophylla",0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,2,3,0,4,0,0,0,0,0,0,0,2,0,5,2,0,3,0,0,0
"Aphloia theiformis",0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Campnosperma seychellarum",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,1,0,0,0
"Canthium bibracteatum",0,0,0,277,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,17,0,0,0,0,0,126,0,3,0,57,1,0,0,0,0,0,5,0,14,3,1,0,0,0,6,0,1,0,2,1,1,1,0,0,1
"Chrysobalanus icaco",0,0,0,295,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,16,0,0,10,0,0,0,0,0,0,0,10,0,11,0,0,0,0,3,0
"Cinnamomum verum",0,0,0,74,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,8,0,0,27,1,7,0,1,0,0,1,0,0,0,0,0,18,0,4,0,1,0,1,2,4,0,0,0,0,0,0,0,0
"Colea seychellarum",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Craterispermum microdon",0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0
"Deckenia nobilis",0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,4,0,0,0,41,0,0,0,0,1,0,0,0,0,0,4,0,16,2,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0
"Dillenia ferruginea",0,0,1,222,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,0,94,0,0,0,1,0,0,0,3,0,5,0,1,40,2,1,1,0,2,0,0,0,23,0,0,0,0,0,0,4
"Dillenia suffruticosa",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44
"Diospyros seychellarum",0,0,0,34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,1,0,0
"Dracaena reflexa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erythroxylum sechellarum",0,0,13,223,3,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,39,0,0,3,0,0,0,0,0,0,0,1,3,0,0,0,1,1,2,0,0,0,2,0,1,317,0,20,0,4,0,0,0,0,3,0,0,0,1,8,2,0,0,0,0,3,0,0,5,0,1,0,2,0,0
"Euphorbia pyrifolia",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Excoecaria benthiamiana",0,0,0,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Gastonia crassa",0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,13,0,0,16,0,0,0,0,0,0,39,1,0,0,0,0,0,0,25,1,0,2,0,0,0,0,0,0,0,0
"Glionnetia sericea",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ixora pudica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Medusagyne oppositifolia",0,0,0,73,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,12,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0
"Memecylon eleagni",0,0,1,277,0,0,0,0,17,2,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,78,0,0,0,2,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,2,6,0,0,1
"Mimusops sechellarum",0,0,0,11,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,8,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,11,0,0,0,0,0,0,2,0,0,0,0
"Nepenthes pervillei",0,0,0,19,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,14,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0
"Nephrosperma vanhoutteanum",0,0,2,678,0,1,0,9,1,16,10,0,250,1,3,0,1,0,6,0,0,64,0,0,16,0,0,0,1,0,0,0,0,0,4,0,0,6,0,36,12,0,0,0,0,0,811,1,73,0,37,9,0,0,0,0,0,95,8,15,6,7,0,0,49,1,1,3,107,0,0,8,1,10,0,0
"Northea hornei",0,0,0,43,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,19,5,0,0,0,0,0,0,19,0,0,0,1,0,0,2,0,0,0,0
"Ochna kirkii",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,46
"Paragenipa wrightii",0,0,12,180,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,1,0,1,0,0,0,12,2,0,0,3,0,0,0,5,0,3,2,0,0,0,0,0,0,0,2
"Paraserianthes falcataria",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phoenicophorium borsigianum",0,0,2,111,0,0,0,0,0,23,32,0,0,0,2,0,8,0,0,0,0,7,8,0,1,4,0,0,0,0,0,0,0,0,27,0,0,0,0,30,2,0,0,0,0,0,304,0,9,0,1,6,0,0,0,0,0,23,130,14,2,0,0,0,16,0,1,3,168,0,0,30,7,2,0,1
"Pittosporum senacia",0,0,0,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,15,0,0,1,5,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Premna serratifolia",0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,6,0,48,0,1,0,17,0,0,0,0,3,0,1,0,4,2,5,0,0,0,0,0,0,1,35,0,0,0,0,0,0
"Psidium cattleianum",0,0,0,116,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,37,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Psychotria pervillei",0,0,0,151,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,2,0,0,0,0,0,33,3,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
"Roscheria melanochaetes",0,0,0,14,0,0,0,0,0,3,5,0,6,1,0,0,17,12,0,0,0,18,10,11,2,0,0,1,0,13,0,0,0,7,26,1,0,0,0,0,0,0,0,0,3,0,8,0,15,0,0,0,25,0,0,1,0,29,3,0,0,0,1,0,1,0,0,0,9,0,0,0,0,0,0,0
"Soulamea terminaloides",0,1,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,6,0,0,1,0,2,0,0
"Syzygium wrightii",0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,13,0,0,0,0,0,0,52,0,0,1,0,1,0,0,8,0,0,0,0,0,0,1,0,0,0,6
"Timonius sechellensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
