pol_code,species_name
acal.sp2,Acalyptratae_sp2
acal.sp4,Acalyptratae_sp4
acr.lob,Acromyrmex_lobicornis
allo.bre,Alloscirtetica_brethesi
allo.sp1,Alloscirtetica_sp1
amm.sp1,Ammophila_sp
ana.ine,Ananthidium_inerme
ant.fri,Anthidium_friesei
ant.oed,Anthrax_oedipus
ant.rub,Anthidium_rubripes
ant.vig,Anthidium_vigintipunctatum
antho.sp1,Anthomyiidae_sp1
api.mel,Apis_mellifera
arh.bif,Arhysosage_bifasciata
ari.sp1,Aristosyrphus_sp
ase.mon,Ascia_monuste
asi.sp1,Asilidae_sp1
asi.sp2,Asilidae_sp2
aud.sp,Audre_sp
aug.sp,Augochloropsis_sp
bab.elo,Babia_elongata
bib.sp1,Bibionidae_sp
bom.opi,Bombus_opifex
bombil10,Exoprosopa_sp1
bombil11,Exoprosopa_sp2
bombil12,Bombyliidae_sp12
bombil14,Bombyliidae_sp14
bombil15,Bombyliidae_sp15
bombil16,Bombyliidae_sp16
bombil3,Chrysanthrax_sp2
bombil5,Bombilidae_sp5
bombil7,Parasystoechus_sp
bombil8,Poecilognathus_sp
bombil9,Bombyliidae_sp9
cae.sp1,Caenohalictus_sp
cal.sp1,Calliopsini_sp1
cam.mus,Camponotus_mus
cam.pun,Camponotus_punctulatus
cen.bre,Centris_brethesi
cen.lya,Centris_lyngbyei
cen.var,Centris_vardyorum
cha.sp1,Chaetocrania_sp
coc.mac,Cochliomyia_macellaria
coc.sp1,Coccinelidae_sp1
coc.sp2,Coccinela_sp2
coe.chi,Coelioxys_chilensis
coe.jor,Coelioxys_jorgenseni
coe.sp6,Coelioxys_sp6
col.ara,Colletes_araucariae
col.bic,Colletes_bicolor
col.bre,Colletes_brethesi
col.cog,Colletes_cognatus
col.lyc,Colletes_lycii
com.ful,Compsomyiops_fulvicrura
cop.ari,Copestilum_aricia
cop.sp2,Copestilum_sp2
cop.sp3,Copestilum_sp3
cos.chi,Cosmosatyrus_chilensis
cra.sp1,Crabronidae_sp1
dia.bar,Diadasia_baraderensis
dia.pat,Diadasia_patagonica
dia.sp1,Diabrotica_sp
dih.sp1,Dialictus_sp
emp.sp1,Empididae_sp1
emp.sp2,Empididae_sp2
epi.sp,Epitragus_sp
eum.sp,Eumenidae_sp
exo.sp1,Chrysanthrax_sp1
for.sp1,Foreluis_sp
hir.sp1,Hirmoneura_sp
hypa.sp1,Hypalastroides_sp
ise.vac,Isepeolus_vachali
ise.vip,Isepeolus_viperinus
lei.abd,Leioproctus_abdominalis
lei.fri,Leioproctus_friesei
lep.nig,Leptometriella_nigra
lepid11,Lepidoptera_sp11
lepid12,Lepidoptera_sp12
lepid3,Lepidoptera_sp3
lepid4,Lepidoptera_sp4
lip.ino,Liphantus_inornatus
lip.nig,Liphantus_nigritus
lon.rob,Lonchopria_robertsi
lon.sp1,Lonchopria_sp
meg.A,Megachile_leucographa
meg.C,Megachile_obscurior
meg.cte,Megachile_nigella
meg.pse2,Megachile_pseudocentron2
mel.coc,Melectoides_cockerelli
mel.sp,Melissoptila_sp
mes.jen,Mesonychium_jenseni
muscid2,Muscidae_sp2
neu.sp1,
nit.sp1,Nitidulidae_sp1
pir.com,Pyrgus_communis
pla.sp1,Platycheirus_sp
pol.cav,Polistes_cavapyta
pompil2,Pompilidae_sp2
psa.phi,Psaenythia_philantoides
psa.ruf,Psaenythia_rufipes
pse.sp,Pseudagapostemon_sp
rub.nas,Rubrica_nasuta
sar.sp1,Sarcophagidae_sp1
sci.sp1,Sciomyzidae
sph.sp2,Sphex_sp2
sphecid1,Sphecidae_sp1
str.eur,Strymon_eurytulus
sva.bau,Svastrides_bauni
sva.bom,Svastra_sp
sva.zeb,Svastrides_zebra
syr.sp1,Syrphus_sp1
syr.sp2,Syrphidae_sp2
syr.sp3,Syrphidae_sp3
syr.sp5,Syrphidae_sp5
syr.sp6,Syrphidae_sp6
tac.sp1,Tachipompillus_sp
tac.sp10,Tachinidae_sp10
tac.sp15,Tachinidae_sp15
tac.sp17,Tachinidae_sp17
tac.sp5,Tachinidae_sp5
tac.sp8,Tachinidae_sp8
tachy.sp,Tachytes_sp
tat.aut,Tatochila_autodice
tep.sp1,Tephritidae_sp1
tep.sp2,Tephritidae_sp2
thy.sp1,Thynnidae_sp
tox.sp1,Toxomerus_sp1
tri.lat,Trichothurgus_laticeps
tri.sp2,Trichoturgus_sp2
vill.sp1,Villa_sp
wil.cha,Willinkapis_chalybaea
xyl.aug,Xylocopa_augusti
xyl.ord,Xylocopa_atamisquensis
xyl.spl,Xylocopa_splendidula
zet.sp1,Zeta_sp