"","Agromyzidae sp","Allograpta sp","Ammophila sp","Andrena nigra","Andrena sp","Andrena sp 1","Anthidium rubopunctatum","Anthidium sp","Anthomyiidae sp","Anthomyiidae sp 1","Anthomyiidae sp 2","Anthomyiidae sp 3","Anthophora mangkamensis","Anthophora sp","Anthophora sp 1","Anthophora sp 2","Apis cerana","Apis mellifera","Apoidea sp","Aporia sp","Argidae sp","Asarkina sp","Betasyrphus serarius","Bibionidae sp","Bibionidae sp 1","Bibionidae sp 2","Bombus festivus","Bombus lepidus","Bombus lucorum","Bombus richardsi","Bombus sp","Bombus sp 1","Bombus sp 2","Bombus sp 3","Bombus sp 4","Bombus trifasciatus","Bombyliidae","Bombyliidae 1","Bombyliidae 2","Bombyliidae 3","Bombyliidae sp","Bombyliidae sp 1","Bombyliidae sp 2","Bombyliidae sp 3","Calliphoridae sp","Calliphoridae sp 1","Camponotus compressus","Cantharidae sp","Cantharidae sp 1","Cantharidae sp 2","Carcelia dubia","Ceratina  sp","Ceratina  sp 1","Chalcosyrphus sp","Cheilosia sp","Cheilosia sp 1","Cheilosia sp 2","Cheilosia sp 3","Cheilosia sp 4","Chrysopidae sp","Coccinellidae sp","Coelioxys sp","Colias fieldi","Colletes sp","Compsilura sp","Conopidae sp","Conopidae sp 1","Conopidae sp 2","Crabronidae sp","Crambidae sp","Crambidae sp 1","Crambidae sp 2","Crambidae sp 3","Crambidae sp 4","Culicidae sp","Danaidae sp","Dermaptera sp","Dufourea sp","Dufourea sp 1","Dufourea sp 2","Empididae sp","Episyrphus balteatus","Eriozona sp","Eristalinus sp","Eristalis sp","Eristalis sp 1","Eristalis sp 2","Eristalis tenax","Eupeodes sp","Exorista sp","Exorista sp 1","Forficulidae sp","Formica sp","Formicidae sp","Geometridae sp","Graphomya sp","Halictidae sp","Halictidae sp 1","Halictidae sp 2","Halictidae sp 3","Halictidae sp 4","Halictoides sp","Halictoides sp 1","Halictoides sp 2","Halictus sp","Halictus sp 1","Halictus sp 2","Halictus sp 3","Halictus sp 4","Halictus yunnanicus","Helina sp","Helina sp 1","Helina sp 2","Helina sp 3","Helophilus  sp","Helophilus sp","Helophilus sp 1","Hesperiidae sp","Hesperiidae sp 1","Hesperiidae sp 2","Hesperiidae sp 3","Hoplitis sp","Hoplitis sp 1","Hydrotaea sp","Hylaeus sp","Hylaeus sp 1","Hypercompe sp","Ichneumon sp","Ichneumon sp 1","Ichneumon sp 2","Lasioglossum kryopetrosum","Lasioglossum sp","Lasioglossum sp 1","Lasioglossum sp 2","Lasioglossum sp 3","Lasioglossum sp 4","Lasioglossum virideglaucum","Lauxaniidae sp","Leucozona sp","Linnaemya comta","Lucilia   sericata","Lucilia sp","Lycaenidae Celastrina sugitanii","Lycaenidae sp","Lycaenidae sp 1","Lycaenidae sp 2","Lycaenidae sp 3","Macquartiini sp","Macropis  sp","Megachile sp","Megasyrphus sp","Meigenia sp","Melangyna sp","Melanostoma  sp","Melanostoma  sp 1","Melanostoma orientale","Melanostoma sp","Meliscaev sp","Melitta sp","Metasyrphus nitens","Miridae sp","Miridae sp 1","Musca sp","Muscidae sp","Muscidae sp 1","Muscidae sp 2","Muscidae sp 3","Muscidae sp 4","Mydeae sp","Nymphalidae sp","Nymphalidae sp 1","Nymphalidae sp 2","Nymphalidae sp 3","Odontomyia sp","Paragus sp","Paragus sp 1","Peleteria acutiforceps","Phasiini sp","Phasiini sp 1","Phasiini sp 2","Pieridae sp","Pieridae sp 1","Pieris sp","Platycheirus sp","Platycheirus sp 1","Platycheirus sp 2","Podalonia sp","Pyralidae sp","Pyralidae sp 1","Pyralidae sp 2","Rhingia binotata","Sarcophagidae sp","Sarcophagidae sp 1","Sarcophagidae sp 2","Satyrinae sp","Scarabaeidae sp","Scarabaeoidea sp","Scarabaeoidea sp 1","Scarabaeoidea sp 2","Scarabaeoidea sp 3","Scatopsidae sp","Scolidae sp","Scolidae sp 1","Sepsidae sp","Sepsidae sp 1","Sericomyia sp","Sericomyia sp 1","Sphaerophoria sp","Sphaerophoria sp 1","Sphaerophoria sp 2","Sphecidae sp","Stratiomyidae sp","Stratiomyidae sp 1","Syrphid sp","Syrphid sp 1","Syrphid sp 2","Syrphid sp 3","Syrphid sp 4","Syrphid sp 5","Syrphid sp 6","Syrphid sp 7","Syrphus ribesii","Syrphus sp","Syrphus sp 1","Syrphus sp 2","Tachinidae sp","Tachinidae sp 1","Tachinidae sp 2","Tachinidae sp 3","Tachinidae sp 4","Tachinidae sp 5","Tachinidae sp 6","Tenthredinidae sp","Tenthredinidae sp 1","Tenthredinidae sp 2","Tenthredinidae sp 3","Tenthredinidae sp 4","Tenthredinidae sp 5","Tephritidae sp","Tephritidae sp 1","Vanessa cardui","Vanessa sp","Vespidae sp","Vespidae sp 1","Volucella sp","Volucella sp 1","Voriini  sp"
"Achillea wilsoniana",0,0,0,0,0,0,0,0,29,0,0,7,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,15,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,19,0,0,0,0,14,0,0,0,0,0,3,0,0,6,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,33,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adenophora capillaris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,1,0,0,1,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,14,0,0,0,2,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adenophora jasionifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0,0,0,2,0,3,0,3,0,0,167,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,3,2,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,22,3,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adenophora khasiana",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,56,0,0,0,0,0,9,0,0,0,38,4,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agrimonia pilosa",0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,28,4,0,10,0,8,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,3,0,26,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ajuga forrestii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,46,0,0,0,0,0,0,0,0,2,0,0,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allium atrosanguineum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,43,0,15,147,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allium cyathophorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,30,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allium wallichii",0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,59,0,15,1,0,5,0,0,0,0,15,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,6,62,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,23,1,0,0,8,0,21,0,0,0,3,0,7,0,0,0,1,0,0,0,0,4,0,0,0,2,0,0,2,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,13,0,0,0,3,0,2,0,0,0,0,0,1,0,4,0,0,6,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"Anaphalis nepalensis",0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,8,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,22,0,0,0,10,11,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"Anemone rivularis",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,9,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,2,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arctium lappa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arenaria yunnanensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,0,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,11,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aster diplostephioides",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,12,0,0,1,0,36,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,2,1,0,5,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,32,113,5,0,2,3,2,0,7,0,0,0,0,0,0,0,0,7,0,0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
